normalisasi,Score,Sentiment,tokenize,stopword removal
serius bertanya kalau tidak ada dpr semua orang masih bisa hidup kan,-3,Negatif,"['serius', 'bertanya', 'kalau', 'tidak', 'ada', 'dpr', 'semua', 'orang', 'masih', 'bisa', 'hidup', 'kan']",serius dpr orang hidup
menari di atas penderitaan rakyat,-2,Negatif,"['menari', 'di', 'atas', 'penderitaan', 'rakyat']",menari penderitaan rakyat
dunia akhirat gue tidak iklas byr pajak,-2,Negatif,"['dunia', 'akhirat', 'gue', 'tidak', 'iklas', 'byr', 'pajak']",dunia akhirat iklas byr pajak
tidak usah bayar pajak titikkkk,-3,Negatif,"['tidak', 'usah', 'bayar', 'pajak', 'titikkkk']",bayar pajak titikkkk
parah parah pejabat indonesiaa,-3,Negatif,"['parah', 'parah', 'pejabat', 'indonesiaa']",parah parah pejabat indonesiaa
rakyat sengsara anggota dpr bahagia,-2,Negatif,"['rakyat', 'sengsara', 'anggota', 'dpr', 'bahagia']",rakyat sengsara anggota dpr bahagia
bantuan listrik sumpah demi allah sakit hati dengernya saya tidak ikhlas ya allah demi allah akan saya meminta keadilan mu kelak di pengadilan akhirat,-4,Negatif,"['bantuan', 'listrik', 'sumpah', 'demi', 'allah', 'sakit', 'hati', 'dengernya', 'saya', 'tidak', 'ikhlas', 'ya', 'allah', 'demi', 'allah', 'akan', 'saya', 'meminta', 'keadilan', 'mu', 'kelak', 'di', 'pengadilan', 'akhirat']",bantuan listrik sumpah allah sakit hati dengernya ikhlas allah allah keadilan mu kelak pengadilan akhirat
demi allah saya tidak ikhlas dunia akhirat gaji dpr di naikan dimana masih banyak rakyat yang miskin dan kelaparan,-2,Negatif,"['demi', 'allah', 'saya', 'tidak', 'ikhlas', 'dunia', 'akhirat', 'gaji', 'dpr', 'di', 'naikan', 'dimana', 'masih', 'banyak', 'rakyat', 'yang', 'miskin', 'dan', 'kelaparan']",allah ikhlas dunia akhirat gaji dpr naikan dimana rakyat miskin kelaparan
ini orang orang prabowo pejabat makin kayak rakyat makin sengsara,-1,Negatif,"['ini', 'orang', 'orang', 'prabowo', 'pejabat', 'makin', 'kayak', 'rakyat', 'makin', 'sengsara']",orang orang prabowo pejabat rakyat sengsara
pantesan pada rebutan kursi dpr sampai nyuap rakyat kalau nyoblos dia dapat duit,-4,Negatif,"['pantesan', 'pada', 'rebutan', 'kursi', 'dpr', 'sampai', 'nyuap', 'rakyat', 'kalau', 'nyoblos', 'dia', 'dapat', 'duit']",pantesan rebutan kursi dpr nyuap rakyat nyoblos duit
para dpr tunjangan sebanyak itu tidak ada potongan sama sekali giliran rakyatnya saja gapok perbln dapat potongan pajak pula bagaimana tidak istilahnya demo,-7,Negatif,"['para', 'dpr', 'tunjangan', 'sebanyak', 'itu', 'tidak', 'ada', 'potongan', 'sama', 'sekali', 'giliran', 'rakyatnya', 'saja', 'gapok', 'perbln', 'dapat', 'potongan', 'pajak', 'pula', 'bagaimana', 'tidak', 'istilahnya', 'demo']",dpr tunjangan potongan giliran rakyatnya gapok perbln potongan pajak istilahnya demo
ini sebenarnya yang jadi beban negara guru apa dpr ya,0,Netral,"['ini', 'sebenarnya', 'yang', 'jadi', 'beban', 'negara', 'guru', 'apa', 'dpr', 'ya']",beban negara guru dpr
pantas banget banyak artis yang pengin jadi dpr ternyata begini tapi,0,Netral,"['pantas', 'banget', 'banyak', 'artis', 'yang', 'pengin', 'jadi', 'dpr', 'ternyata', 'begini', 'tapi']",artis pengin dpr
kerja cuma tidur sama main hp saja gaji segitu besar kami guru mengajar dengan susah payah cuma digaji kbulan,-2,Negatif,"['kerja', 'cuma', 'tidur', 'sama', 'main', 'hp', 'saja', 'gaji', 'segitu', 'besar', 'kami', 'guru', 'mengajar', 'dengan', 'susah', 'payah', 'cuma', 'digaji', 'kbulan']",kerja tidur main hp gaji segitu guru mengajar susah payah digaji kbulan
harus banget memang di fasilitasi kerja ya buat rakyat apaan ya,0,Netral,"['harus', 'banget', 'memang', 'di', 'fasilitasi', 'kerja', 'ya', 'buat', 'rakyat', 'apaan', 'ya']",fasilitasi kerja rakyat
