normalisasi,Score,Sentiment
mana buktinya penjelasan tanpa transparasi sama saja jual mimpi dan fiktif cukup lah validasinya,2,Positif
kalau harga beras segonikg harganya ribu maka uang juta bisa beli sebanyak goni,1,Positif
sila ke keadilan sosial bagi seluruh rakyat indonesia telah hilang,1,Positif
sama sakit hati banget,1,Positif
kernya mereka naikin pajak biar upah mereka bertambah terus,-2,Negatif
nah ini yang jadi beban rakyat,-2,Negatif
nih makluk dimana ada,0,Netral
mau ku lacak tidak nih orang,-1,Negatif
percaya bertanya dengan nada rendah dan pelan,2,Positif
jangan di ramaikan teman nanti dia viral terkenal kalau dia komen yang macemmacem sudah cuekin saja,-6,Negatif
tikus kan makan beras,0,Netral
cuman juta gais juta cuman,2,Positif
padahal mampu banget beli beras bensin sembako mengapai pakai tunjangan buat dpr,1,Positif
aku lo juta gaji bulanan bensin tuku dewemangan dewe,1,Positif
kasihan sama bapak anggota dewan masak tunjangan beras cuma diberikan sebesar juta harusnya jutaberapa ton makan beras sebulan,-2,Negatif
mengapa harus ada biaya kontrak rumah kalian sudah kayak pak terlalu miris kalian sudah punya segala ya tapi kok masih ada biaya kontrak rumah lagi sedangkan masyarakat masih banyak yang belum punya rumah,0,Netral
gaji rakyat umr ump juta pak perbulan baru adil,1,Positif
juta sebulan pas gajihan cuma numpang lewat semangat buat rakyat,2,Positif
yohanes kamu ada dimana,0,Netral
lomba pada ngeles beda mulut beda ucapan,-5,Negatif
bisa buat beli rumah itu,1,Positif
harusnya tunjangan juta perbulan untuk rumah,1,Positif
alasan biat dekat dengan kantor dpr mereka tidak lihat apa banyak masyarakat gaji umr jarak rumah ya berpuluh kilo meter tiap hari pulang pergi ini dpr ringan banget dapat tunjangan rumah juta tiap bulan,2,Positif
saya ingat pada jaman pakharto anggota dpr di kasih flat di belakang gedung mpr,-4,Negatif
beras logam mulia kj,0,Netral
maklum negara dengan sdm terendah,0,Netral
itu beras satu bulan bensin juta wow,-1,Negatif
ribu tapi berkah itu buat keluarga,1,Positif
beda lagi ceritanya,-1,Negatif
itu yang membuat masyarakat marah terus gaji ya itu buat memperkaya diri sendiri tidak seperti pegawai yang lain buat kebutuahan saja kurang,-7,Negatif
juta setahun dapat rumah baru mending langsung beli rumah subsidi unit di daerah ku hrg rumah subsidi juta,5,Positif
ah jangan bodohin lagi kami sudah muhak,-2,Negatif
membanyaki wawancara dpr yahz biar mereka blunder se diri,0,Netral
akibat jujur dari krisdayanti tidak duduk lagi jadi dpr,-3,Negatif
sudah bubarakan saja dpr tidak ada gunanya beban negara,-3,Negatif
kata kasihan ini yang perlu dipertahankan kok bisa kasihan dengan segitu baxak tunjangan sedangkan rakyantnya yang notabene mengutus mereka malah tidak dihiraukan,-5,Negatif
semoga gaji kita bisa sama kayak mereka yaaaaamiin,0,Netral
beras ya premium wkwk,2,Positif
tidak usah mikir bagaimana pajak naik yang byar siap rakyat tau,-3,Negatif
rata punya rumah di jakarta,2,Positif
sudah cukup buat beli rumah,1,Positif
tidak sinkron sama ucapan kd,1,Positif
kocaaakbeda orang beda penjelasan,0,Netral
ini cuman tunjangan rumah saja ya belum yang lain,-2,Negatif
tetap saja muahal pak saja gileeee pajak rakyat di buay foya foya,-2,Negatif
kalau di total banyak juga ya bro,0,Netral
ini mah cara menutupi kenyataan saja,-1,Negatif
tidak usah kontrak langsung beli saja,-2,Negatif
tidur sama menonton video kak,1,Positif
ada yang mengerti kah pnjlsanya,-1,Negatif
itu baru beras bang belum jagung ubi dll,-1,Negatif
rampingkan pak jangan kebanyakan anggota ya,0,Netral
setuju gaji dpr itu lebih dari itu,-2,Negatif
ini buzer tidak usah di tanggepin,-2,Negatif
ssssttttsesama guru jangan ribut kita kan kerja sebulan dibayar seminggu,2,Positif
alasan biat dekat dengan kantor dpr mereka tidak lihat apa banyak masyarakat gaji umr jarak rumah ya berpuluh kilo meter tiap hari pulang pergi ini dpr ringan banget dapat tunjangan rumah juta tiap bulan,2,Positif
maklumin orang dpr darah ijo ya guitu,1,Positif
masyarakat indonesia tanpa dpr tetap bisa hidup,1,Positif
ketahuan yang tidak suka bayar pajak sama tidak kerja,-3,Negatif
mungkin beras campur emas murni,0,Netral
tunjangan uang parkir kira berapa,0,Netral
pasti agamanya kristen kamu kan,1,Positif
tidur di gedung ber ac kak sama joged joged,1,Positif
kayak ya bukan hoki sih bang memang web ya saja yang lagi baik semua member baru kebanyakan menang main di sini,-3,Negatif
iya menggemaskan pengin cubit mulutnya,-2,Negatif
mklum banyak istri simpenan boy,0,Netral
dari mukanya mase bodoh,-1,Negatif
buat makan orang sekampung kali,1,Positif
berjuanga apagak pernah bela rakyat,0,Netral
yang benar yang manakok penjelasannya beda beda,-4,Negatif
astagfirullah pntesan pada kayak,-2,Negatif
setiap tahun juta sebulancoba ulang,1,Positif
dapat darimana uang ya pak,1,Positif
juta kali bulan juta wow untuk kotrak rumah selama tahun juta tahun juta per tahun wow,4,Positif
pajak naik tidak kira ternyata ini jawabannya,-1,Negatif
masak kita percaya sama tikus,2,Positif
coba hitung bisa beli rumah bukan kontrak,1,Positif
lebih baik dibubarkan negara jadi sejahtera dan tentram,1,Positif
makanya lihat yutub ada loh vidio fulnya,1,Positif
mnurt gue sih lebih baik tidak usah bayar ini sono ke pemerintah kalau memng duitnya dipakai tidak jelas rakyat susah biar pejabat juga memikir dan nyri sendiri duitnya,-6,Negatif
ya sekali bikin rumah disnas untuk sllamanya kan gampang jadi angaran berkurang,0,Netral
apa masih ada anggota dpr yang menjabat sekarang nih tidak punya rumah sampai di kasih uang untuk ngontrak rumah apa mungkin pas nyaleg kemarin rmhtanah mereka pada terjual buat anggaran bansosuang serangan fajar bisa di duga begitu,-3,Negatif
duh lebih gede dong anggaran untuk para binatang tersebut,1,Positif
bikin tenda saja kalian depan gedung dpr,-1,Negatif
yang kayak begini jangan ada yang comenin biar diam sendiri,-6,Negatif
stresssss gua tidak bakal iklas gua ungkit terus sampai di akherattttt,-3,Negatif
