Kata,Frekuensi
dpr,1722
juta,1716
ya,1646
rakyat,1492
gaji,927
rumah,790
beras,790
tunjangan,757
anggota,536
orang,447
negara,436
uang,397
makan,385
kali,357
banget,343
kasihan,340
pajak,337
kerja,313
kayak,310
guru,279
sebulan,278
kak,252
bayar,234
sih,228
beli,218
beban,206
tikus,184
bilang,184
biar,180
ngontrak,179
cuman,179
enak,178
hidup,171
umr,168
iya,166
dewan,165
perbulan,165
beda,164
ribu,159
percaya,157
duit,155
abang,149
pakai,145
kontrak,145
masyarakat,142
susah,140
nih,136
miskin,135
tau,133
indonesia,132
bensin,129
cari,127
lihat,123
anak,123
setahun,122
demo,120
kasih,120
coba,117
tuh,117
gue,115
pejabat,113
wakil,108
bikin,107
gajinya,103
oktober,103
habis,102
kg,101
allah,99
mengomong,99
modal,96
kawan,95
mah,93
segitu,92
dinas,89
gede,86
anggaran,86
doang,85
bos,83
dimana,82
sehari,81
biaya,76
gua,75
memikirkan,75
tidur,74
rakyatnya,73
gajih,73
masuk,73
salah,71
mending,71
pemerintah,71
keuangan,70
penjelasan,70
nya,68
mewah,67
kerjanya,66
kontrakan,65
dana,64
pas,64
hati,63
loh,63
kau,62
krisdayanti,62
bubarkan,62
korupsi,62
bu,61
klarifikasi,60
lo,59
dikasih,58
keluarga,57
gila,56
tanggung,56
rapat,55
kemarin,55
keras,54
ikhlas,53
prabowo,53
tinggal,53
karung,53
langsung,52
mikir,52
mahal,52
pintar,51
berjuang,51
duduk,50
komen,50
harga,50
akhirat,47
honorer,47
setuju,47
mencari,47
bang,47
dunia,46
dll,46
akal,46
an,45
mengapai,45
negeri,44
dengar,44
joget,44
mentri,44
kagak,43
jakarta,43
kakak,43
namanya,43
listrik,42
hasil,42
kah,42
bro,42
memilih,42
berasnya,42
emas,42
mu,41
kelaparan,41
ku,41
pensiun,41
makannya,41
sewa,41
sakit,40
hapus,40
layak,40
total,40
bagus,40
main,39
tunjangannya,39
buruh,39
penderitaan,38
presiden,38
jalan,38
aspirasi,38
ganti,38
menteri,38
menderita,38
jabatan,38
rp,38
pns,37
naikin,37
sri,37
dikit,37
tolong,37
ratusan,37
rakus,37
jtbln,37
alasan,37
telur,37
byr,36
pengin,36
mati,36
pekerjaan,36
deh,36
milyar,36
iklas,35
suara,35
dipakai,35
bubar,35
suruh,35
manusia,35
perumahan,35
buka,34
omon,34
sesuai,34
jta,34
ri,34
muncul,34
wow,34
bodoh,34
semoga,33
pokok,33
transparan,33
ngeles,33
diam,32
perut,32
bantuan,31
kebanyakan,31
kd,31
omongan,31
bpk,30
kayaknya,30
sekolah,30
mulu,30
rumahnya,30
anjing,30
gedung,30
aset,30
okt,30
dibilang,29
suka,29
pilih,29
mewakili,29
anjir,29
maaf,29
mpr,29
daerah,29
dasco,29
kabar,28
muka,28
ditanggung,28
capek,28
fasilitas,28
uu,28
lu,28
itupun,28
terima,28
lucu,28
kunjungan,27
kadang,27
pemilu,27
eh,27
serius,26
perhari,26
wajar,26
istri,26
butuh,26
kenaikan,26
nama,26
kocak,26
sejahtera,26
mandi,26
menjabat,26
nasi,26
bersyukur,26
wd,25
tanggal,25
kena,25
dipotong,25
mengasih,25
turun,25
ah,25
seumur,25
sawah,25
sengsara,24
pantesan,24
lupa,24
mobil,24
miris,24
stop,24
jam,24
takut,24
paham,24
otak,24
dprd,24
penjelasannya,24
bingung,23
ketua,23
marah,23
potong,23
honor,23
bubarin,23
wkwk,23
jelata,23
jtbulan,23
gunanya,22
dapil,22
mulyani,22
pendapatan,22
perwakilan,22
hitung,22
semangat,22
yohanes,22
akun,22
teman,22
berat,22
sd,22
kilo,22
ai,22
pikir,21
sulit,21
lho,21
viral,21
aturan,21
kebijakan,21
uangnya,21
karyawan,21
nongol,21
partai,21
perampasan,21
pertahun,21
jujur,21
parah,20
dengernya,20
nada,20
hebat,20
kebutuhan,20
penghasilan,20
apapun,20
kantor,20
woy,20
undang,20
sekarung,20
intinya,20
mulut,20
bicara,20
giliran,19
diatas,19
cair,19
ber,19
adil,19
muak,19
menangis,19
efisiensi,19
warga,19
tni,19
pajaknya,19
rt,19
ketahuan,19
reses,19
subsidi,18
bawa,18
duitnya,18
heran,18
sedih,18
ekonomi,18
mkan,18
senang,18
mbak,18
buzzer,18
dah,18
iki,18
dibayar,18
krja,18
kaya,18
masak,18
berubah,18
naikan,17
kenyang,17
wkwkwk,17
konoha,17
ayo,17
sah,17
mas,17
bansos,17
sekeluarga,17
bantu,17
menambah,17
nyalon,17
joged,17
data,17
berani,17
buset,17
koruptor,17
ton,17
vt,17
gji,17
ngitung,17
artis,16
kos,16
bersih,16
merasakan,16
pribadi,16
berkah,16
kepala,16
ngabisin,16
pagi,16
bulannya,16
hutang,16
