normalisasi,Score,Sentiment
serius bertanya kalau tidak ada dpr semua orang masih bisa hidup kan,-3,Negatif
menari di atas penderitaan rakyat,-2,Negatif
dunia akhirat gue tidak iklas byr pajak,-2,Negatif
tidak usah bayar pajak titikkkk,-3,Negatif
parah parah pejabat indonesiaa,-3,Negatif
rakyat sengsara anggota dpr bahagia,-2,Negatif
bantuan listrik sumpah demi allah sakit hati dengernya saya tidak ikhlas ya allah demi allah akan saya meminta keadilan mu kelak di pengadilan akhirat,-4,Negatif
demi allah saya tidak ikhlas dunia akhirat gaji dpr di naikan dimana masih banyak rakyat yang miskin dan kelaparan,-2,Negatif
ini orang orang prabowo pejabat makin kayak rakyat makin sengsara,-1,Negatif
pantesan pada rebutan kursi dpr sampai nyuap rakyat kalau nyoblos dia dapat duit,-4,Negatif
para dpr tunjangan sebanyak itu tidak ada potongan sama sekali giliran rakyatnya saja gapok perbln dapat potongan pajak pula bagaimana tidak istilahnya demo,-7,Negatif
ini sebenarnya yang jadi beban negara guru apa dpr ya,0,Netral
pantas banget banyak artis yang pengin jadi dpr ternyata begini tapi,0,Netral
kerja cuma tidur sama main hp saja gaji segitu besar kami guru mengajar dengan susah payah cuma digaji kbulan,-2,Negatif
harus banget memang di fasilitasi kerja ya buat rakyat apaan ya,0,Netral
secara literally mereka anggota dpr ini menari diatas penderitaan rakyat,-2,Negatif
rakyat miskin di pajak pejabat dapat subsidi,-3,Negatif
ingat buk pak hidup di dunia ini hanya sementara,-2,Negatif
ini adalah sebagian strategi bapak prabowo dan wakil presiden agar rakyat indonesia melihat kelakuan dpr,1,Positif
sakittt banget juta perhari sedangkan guru bulan ribu,0,Netral
yang miskin tambah miskin yang kayak tambah kayak,-4,Negatif
sedangkan guru honorer nakes yang kerjanya tidak main main mau dapat juta saja harus menunggu berbulan bulan lamanyaaa,-4,Negatif
rakyat ya mau ngontrak petakan saja susah,-1,Negatif
tunjangan komunikasi juta antum mau bikin tower wifi sendiri apa bagaimana anjj,-2,Negatif
demi allah tidak iklas aku dunia akhirat kelen naik gajirakyat ya makin susah,-2,Negatif
dewan pemerasan rakyat dpr,-2,Negatif
kagak ikhlas gue bayar pajak asli,0,Netral
